Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
LD-808P,អាវស្រី ឈូក,,LD168,1,5,15,10, No Tax, exclusive,LD808,S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15|3XL=1_15,,,,,,,,,,,,no_image.png,standard
LD-808W,អាវស្រី ស,,LD168,1,5,15,10, No Tax, exclusive,LD808,S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15|3XL=1_15,,,,,,,,,,,,no_image.png,standard
LD-808R,អាវស្រី ក្រហម,,LD168,1,5,15,10, No Tax, exclusive,LD808,S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15|3XL=1_15,,,,,,,,,,,,no_image.png,standard
LD-808Y,អាវស្រី លឿង,,LD168,1,5,15,10, No Tax, exclusive,LD808,S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15|3XL=1_15,,,,,,,,,,,,no_image.png,standard
LD-742Br,អាវស្រី ត្មោត,,LD168,1,5,15,10, No Tax, exclusive,LD742,,,,,,,,,,,,,no_image.png,standard
LD-742Y,អាវស្រី លឿង,,LD168,1,5,15,10, No Tax, exclusive,LD742,,,,,,,,,,,,,no_image.png,standard
LD-742Pu,អាវស្រី ស្វាយ,,LD168,1,5,15,10, No Tax, exclusive,LD742,,,,,,,,,,,,,no_image.png,standard
LD-742Bl,អាវស្រី ខៀវ,,LD168,1,5,15,10, No Tax, exclusive,LD742,,,,,,,,,,,,,no_image.png,standard
LD-742R,អាវស្រី ក្រហម,,LD168,1,5,15,10, No Tax, exclusive,LD742,,,,,,,,,,,,,no_image.png,standard
LD-742W,អាវស្រី ស,,LD168,1,5,15,10, No Tax, exclusive,LD742,,,,,,,,,,,,,no_image.png,standard
LD-902W,អាវស្រី ស,,LD168,1,5,13,10, No Tax, exclusive,LD902,M=1_13|L=1_13|XL=1_13|2XL=1_13|3XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-902B,អាវស្រី ខ្មៅ,,LD168,1,5,13,10, No Tax, exclusive,LD902,M=1_13|L=1_13|XL=1_13|2XL=1_13|3XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-653Bl,អាវស្រី ខៀវ,,LD168,1,5,13,10, No Tax, exclusive,LD653,S=1_13|M=1_13|L=1_13|XL=1_13|2XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-653B,អាវស្រី ខ្មៅ,,LD168,1,5,13,10, No Tax, exclusive,LD653,S=1_13|M=1_13|L=1_13|XL=1_13|2XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-653P,អាវស្រី ឈូក,,LD168,1,5,13,10, No Tax, exclusive,LD653,S=1_13|M=1_13|L=1_13|XL=1_13|2XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-653R,អាវស្រី ក្រហម,,LD168,1,5,13,10, No Tax, exclusive,LD653,S=1_13|M=1_13|L=1_13|XL=1_13|2XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-889R,អាវស្រី ក្រហម,,LD168,1,5,17,10, No Tax, exclusive,LD889,M=1_17|L=1_17|XL=1_17|2XL=1_17|3XL=1_17|4XL=1_17,,,,,,,,,,,,no_image.png,standard
LD-889Bl,អាវស្រី ខៀវ,,LD168,1,5,17,10, No Tax, exclusive,LD889,M=1_17|L=1_17|XL=1_17|2XL=1_17|3XL=1_17|4XL=1_17,,,,,,,,,,,,no_image.png,standard
LD-889W,អាវស្រី ស,,LD168,1,5,17,10, No Tax, exclusive,LD889,M=1_17|L=1_17|XL=1_17|2XL=1_17|3XL=1_17|4XL=1_17,,,,,,,,,,,,no_image.png,standard
LD-889B,អាវស្រី ខ្មៅ,,LD168,1,5,17,10, No Tax, exclusive,LD889,M=1_17|L=1_17|XL=1_17|2XL=1_17|3XL=1_17|4XL=1_17,,,,,,,,,,,,no_image.png,standard
LD-100Bl,អាវស្រី ខៀវ,,LD168,1,5,15,10, No Tax, exclusive,LD100,S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15,,,,,,,,,,,,no_image.png,standard
LD-100B,អាវស្រី ខ្មៅ,,LD168,1,5,15,10, No Tax, exclusive,LD100,S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15,,,,,,,,,,,,no_image.png,standard
LD-100Gr,អាវស្រី ប្រផេះ,,LD168,1,5,15,10, No Tax, exclusive,LD100,S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15,,,,,,,,,,,,no_image.png,standard
LD-100W,អាវស្រី ស,,LD168,1,5,15,10, No Tax, exclusive,LD100,S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15,,,,,,,,,,,,no_image.png,standard
LD-618W,អាវស្រី ស,,LD168,1,5,9,10, No Tax, exclusive,LD618,S=1_9|M=1_9|L=1_9|XL=1_9|2XL=1_9|3XL=1_9,,,,,,,,,,,,no_image.png,standard
LD-618B,អាវស្រី ខ្មៅ,,LD168,1,5,9,10, No Tax, exclusive,LD618,S=1_9|M=1_9|L=1_9|XL=1_9|2XL=1_9|3XL=1_9,,,,,,,,,,,,no_image.png,standard
LD-618P,អាវស្រី ឈូក,,LD168,1,5,9,10, No Tax, exclusive,LD618,S=1_9|M=1_9|L=1_9|XL=1_9|2XL=1_9|3XL=1_9,,,,,,,,,,,,no_image.png,standard
LD-618Gr,អាវស្រី ប្រផេះ,,LD168,1,5,9,10, No Tax, exclusive,LD618,S=1_9|M=1_9|L=1_9|XL=1_9|2XL=1_9|3XL=1_9,,,,,,,,,,,,no_image.png,standard
LD-853W,អាវស្រី ស,,LD168,1,5,13,10, No Tax, exclusive,LD853,S=1_13|M=1_13|L=1_13|XL=1_13|2XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-853P,អាវស្រី ឈូក,,LD168,1,5,13,10, No Tax, exclusive,LD853,S=1_13|M=1_13|L=1_13|XL=1_13|2XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-853B,អាវស្រី ខ្មៅ,,LD168,1,5,13,10, No Tax, exclusive,LD853,S=1_13|M=1_13|L=1_13|XL=1_13|2XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-731W,អាវស្រី ស,,LD168,1,5,10.5,10, No Tax, exclusive,LD731,S=1_10.5|M=1_10.5|L=1_10.5|XL=1_10.5|2XL=1_10.5|3XL=1_10.5|4XL=1_10.5,,,,,,,,,,,,no_image.png,standard
